    301  6  5  211   4 2p3             -2.42561E-01  6.0
    302  6  5  211   5 2s2 5p          -1.89475E-01  6.0
    303  6  5  211   6 2s2p(3PO) 3s    -1.63384E-01  6.0
    304  6  5  211   7 2s2 6p          -1.24104E-01  6.0
    305  6  5  211   8 2s2 7p          -9.01943E-02  6.0
    306  6  5  211   9 2s2 8p          -6.82796E-02  6.0
    307  6  5  211  10 2s2 9p          -5.34454E-02  6.0
    308  6  5  211  11 2s210p          -4.29586E-02  6.0
    309  6  5  220   1 2s 2p2          -1.09975E+00 10.0
    310  6  5  220   2 2s2 3d          -4.63979E-01 10.0
    311  6  5  220   3 2s2 4d          -2.59310E-01 10.0
    312  6  5  220   4 2s2 5d          -1.65207E-01 10.0
    313  6  5  220   5 2s2 6d          -1.14466E-01 10.0
    314  6  5  220   6 2s2 7d          -8.44072E-02 10.0
    315  6  5  220   7 2s2p(3PO) 3p    -6.97017E-02 10.0
    316  6  5  220   8 2s2 8d          -6.22036E-02 10.0
    317  6  5  220   9 2s2 9d          -4.98605E-02 10.0
    318  6  5  220  10 2s210d          -4.04418E-02 10.0
    319  6  5  221   1 2p3             -4.10622E-01 10.0
    320  6  5  221   2 2s2p(3PO) 3d     1.82143E-02 10.0
    321  6  5  221   3 2s2p(3PO) 4d     2.19217E-01 10.0
    322  6  5  221   4 2s2p(3PO) 5d     3.12624E-01 10.0
    323  6  5  221   5 2s2p(3PO) 6d     3.63392E-01 10.0
    324  6  5  221   6 2s2p(3PO) 7d     3.93907E-01 10.0
    325  6  5  221   7 2s2p(3PO) 8d     4.13648E-01 10.0
    326  6  5  221   8 2s2p(3PO) 9d     4.27142E-01 10.0
    327  6  5  221   9 2s2p(3PO)10d     4.36768E-01 10.0
    328  6  5  230   1 2s2p(3PO) 4f     2.22898E-01 14.0
    329  6  5  230   2 2s2p(3PO) 5f     3.15235E-01 14.0
    330  6  5  230   3 2s2p(3PO) 6f     3.65165E-01 14.0
    331  6  5  230   4 2s2p(3PO) 7f     3.95179E-01 14.0
    332  6  5  230   5 2s2p(3PO) 8f     4.14621E-01 14.0
    333  6  5  230   6 2s2p(3PO) 9f     4.27930E-01 14.0
    334  6  5  230   7 2s2p(3PO)10f     4.37439E-01 14.0
    335  6  5  231   1 2s2 4f          -2.52053E-01 14.0
    336  6  5  231   2 2s2 5f          -1.61225E-01 14.0
    337  6  5  231   3 2s2 6f          -1.11881E-01 14.0
    338  6  5  231   4 2s2 7f          -8.21428E-02 14.0
    339  6  5  231   5 2s2 8f          -6.28536E-02 14.0
    340  6  5  231   6 2s2 9f          -4.96370E-02 14.0
    341  6  5  231   7 2s210f          -4.01886E-02 14.0
    342  6  5  240   1 2s2 5g          -1.60175E-01 18.0
    343  6  5  240   2 2s2 6g          -1.11256E-01 18.0
    344  6  5  240   3 2s2 7g          -8.17375E-02 18.0
    345  6  5  240   4 2s2 8g          -6.25755E-02 18.0
    346  6  5  240   5 2s2 9g          -4.94380E-02 18.0
    347  6  5  240   6 2s210g          -4.00415E-02 18.0
    348  6  5  241   1 2s2p(3PO) 5g     3.17122E-01 18.0
    349  6  5  241   2 2s2p(3PO) 6g     3.66192E-01 18.0
    350  6  5  241   3 2s2p(3PO) 7g     3.95826E-01 18.0
    351  6  5  241   4 2s2p(3PO) 8g     4.15061E-01 18.0
    352  6  5  241   5 2s2p(3PO) 9g     4.28244E-01 18.0
    353  6  5  241   6 2s2p(3PO)10g     4.37671E-01 18.0
    354  6  5  400   1 2s2p(3PO) 3p    -1.04769E-01  4.0
